web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,baños,mconstruidos
1620516984-899,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,EL REFUGIO. VENTA O RENTA DEPA IMPECABLE!,"$15,000",3,2,119
1620516841-375,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Departamento en renta El Mirador 1 habitación JRH,"$6,500",1,1,62
1620516919-661,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,Departamento - Juriquilla,"$23,000",2,2,118
1620516895-571,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=10,Departamento - Juriquilla,"$25,000",2,2,170
1620516912-634,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=8,"RENTA DEPARTAMENTO 2 REC. $15,500.00","$15,500",2,2,110
1620516966-846,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,Departamento - Juriquilla,"$11,500",2,2,83
1620516774-115,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=5,LOFT DE LUJO COMPLETAMENTE AMUEBLADO Y EQUIPADO CON LA MEJOR VISTA A LA CIUDAD,"$17,500",1,1,80
1620516927-685,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,Departamento en Renta Juriquilla Towers  SANTA FE QUERETARO 2 habitaciones excelentes...,"$16,500",2,2,90
1620516927-703,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,Departamento en Renta ubicado en Ambar Tower Cumbres del Lago,"$18,000",2,2,135
1620516865-459,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=3,DEPARTAMENTO EN VENTA O RENTA  EN MILENIO .,"$18,500",3,2,170
